datatype_provision_code,datatype_code,datatype_text,provision_code,provision_text
33_368_NB,33,Access to benefit - plan and occupation-level,368,Access to signing stock options
33_345_NB,33,Access to benefit - plan and occupation-level,345,Access to paid funeral leave
33_346_NB,33,Access to benefit - plan and occupation-level,346,Access to paid jury duty leave
33_347_NB,33,Access to benefit - plan and occupation-level,347,Access to paid military leave
33_348_NB,33,Access to benefit - plan and occupation-level,348,Access to paid personal leave
33_349_NB,33,Access to benefit - plan and occupation-level,349,Access to paid family leave
33_350_NB,33,Access to benefit - plan and occupation-level,350,Access to unpaid family leave
33_360_NB,33,Access to benefit - plan and occupation-level,360,Access to a health savings account
26_291_NB,26,Percent participation across all workers,291,% of workers participating in a defined benefit retirement plan
26_313_NB,26,Percent participation across all workers,313,% of workers participating in a defined contrib. retirement plan
26_320_NB,26,Percent participation across all workers,320,% of workers participating in all retirement benefits
28_319_NB,28,Percent with access to benefit - occupation-level,319,Access to all retirement benefits
28_384_NB,28,Percent with access to benefit - occupation-level,384,Access to defined benefit and defined contribution retirement plans
32_292_NB,32,Take-up rate,292,Take-up rate of workers w/ access to a defined benefit retirement plan
32_314_NB,32,Take-up rate,314,Take-up rate of workers w/ access to a defined contrib. retirement plan
32_321_NB,32,Take-up rate,321,Take-up rate of workers w/ access to all retirement benefits
26_172_NB,26,Percent participation across all workers,172,% of workers participating in health care
32_173_NB,32,Take-up rate,173,Take-up rate of workers w/ access to health care
28_365_NB,28,Percent with access to benefit - occupation-level,365,Access to stock options
33_967_NB,33,Access to benefit - plan and occupation-level,967,Access to student loan repayment
33_968_NB,33,Access to benefit - plan and occupation-level,968,Access to flexible work schedule
21_092_NB,21,10th percentile,092,# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (10th percentile)
22_093_NB,22,25th percentile,093,# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (25th percentile)
23_094_NB,23,Median,094,# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (50th percentile)
24_095_NB,24,75th percentile,095,# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (75th percentile)
25_096_NB,25,90th percentile,096,# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (90th percentile)
30_100_NB,30,Mean,100,Mean # of sick days w/ a limit on days accumulated for workers w/ fixed # of sick days per yr
20_397_NB,20,Percent participation,397,One plan network
20_398_NB,20,Percent participation,398,Two plan networks
20_399_NB,20,Percent participation,399,More than two plan networks
20_400_NB,20,Percent participation,400,Medical care plans: With plan network
20_401_NB,20,Percent participation,401,Medical care plans: With no plan network
20_402_NB,20,Percent participation,402,Medical care plans: With plan network not determinable
20_403_NB,20,Percent participation,403,Medical care plans: Non-emergency services allowed outside network
20_404_NB,20,Percent participation,404,Medical care plans: Non-emergency services not allowed outside network
20_405_NB,20,Percent participation,405,Medical care plans: Non-emergency services outside network  not determinable
20_406_NB,20,Percent participation,406,Medical care plans: With primary care physician
20_407_NB,20,Percent participation,407,Medical care plans: With no primary care physician
20_408_NB,20,Percent participation,408,Medical care plans: With primary care physician not determinable
20_409_NB,20,Percent participation,409,Medical care plans: Coverage for hospital room and board
20_410_NB,20,Percent participation,410,Medical care plans: Coverage for inpatient surgery
20_411_NB,20,Percent participation,411,Medical care plans: Coverage for physician office visit
20_412_NB,20,Percent participation,412,Medical care plans: Coverage for outpatient surgery
20_413_NB,20,Percent participation,413,"Medical care plans: Eligibility requirements, with service requirement"
20_414_NB,20,Percent participation,414,"Medical care plans: Eligibility requirements, with 1 month service requirement"
20_415_NB,20,Percent participation,415,"Medical care plans: Eligibility requirements, with 2 months service requirement"
20_416_NB,20,Percent participation,416,"Medical care plans: Eligibility requirements, with 3 months service requirement"
20_417_NB,20,Percent participation,417,"Medical care plans: Eligibility requirements, with greater than 3 months service requirement"
20_418_NB,20,Percent participation,418,"Medical care plans: Eligibility requirements, with service requirement time not determinable"
20_420_NB,20,Percent participation,420,"Medical care plans: Eligibility requirements, with no service requirement"
20_421_NB,20,Percent participation,421,"Medical care plans: Eligibility requirements, with service requirement not determinable"
20_422_NB,20,Percent participation,422,Non-high deductible health plans
20_423_NB,20,Percent participation,423,Non-high deductible health plans: With flexible spending account
20_424_NB,20,Percent participation,424,Non-high deductible health plans: With health reimbursement arrangement
20_425_NB,20,Percent participation,425,Non-high deductible health plans: With annual individual deductible
20_431_NB,20,Percent participation,431,Non-high deductible health plans: With no annual individual deductible
20_432_NB,20,Percent participation,432,High deductible health plans
20_433_NB,20,Percent participation,433,High deductible health plans: With flexible spending account
20_434_NB,20,Percent participation,434,High deductible health plans: With health reimbursement arrangement
20_435_NB,20,Percent participation,435,High deductible health plans: With health savings account
20_441_NB,20,Percent participation,441,Fee-for-service plans: Total
20_442_NB,20,Percent participation,442,Fee-for-service plans: Traditional
20_443_NB,20,Percent participation,443,Fee-for-service plans: Exclusive provider organization
20_444_NB,20,Percent participation,444,Fee-for-service plans: Preferred provider organization
20_445_NB,20,Percent participation,445,Fee-for-service plans: Point of service
20_446_NB,20,Percent participation,446,Fee-for-service plans: Type of plan not determinable
20_447_NB,20,Percent participation,447,Fee-for-service plans: With annual deductible
20_448_NB,20,Percent participation,448,Fee-for-service plans: With no annual deductible
20_449_NB,20,Percent participation,449,Fee-for-service plans: With annual deductible not determinable
20_450_NB,20,Percent participation,450,Fee-for-service plans: With annual individual deductible
20_456_NB,20,Percent participation,456,Fee-for-service plans: With no annual individual deductible
20_459_NB,20,Percent participation,459,Fee-for-service plans: With annual variable individual deductible
20_464_NB,20,Percent participation,464,Fee-for-service plans: With annual family deductible
20_470_NB,20,Percent participation,470,Fee-for-service plans: With no annual family deductible
20_473_NB,20,Percent participation,473,Fee-for-service plans: With annual variable family deductible
20_477_NB,20,Percent participation,477,Fee-for-service plans: With coinsurance
20_478_NB,20,Percent participation,478,Fee-for-service plans: With no coinsurance
20_479_NB,20,Percent participation,479,Fee-for-service plans: With coinsurance not determinable
20_481_NB,20,Percent participation,481,Fee-for-service plans: With variable coinsurance
20_487_NB,20,Percent participation,487,Fee-for-service plans: With annual out-of-pocket maximum
20_488_NB,20,Percent participation,488,Fee-for-service plans: With no annual out-of-pocket maximum
20_489_NB,20,Percent participation,489,Fee-for-service plans: Annual individual with out-of-pocket maximum
20_495_NB,20,Percent participation,495,Fee-for-service plans: With no annual individual out-of-pocket maximum
20_496_NB,20,Percent participation,496,Fee-for-service plans: With annual individual out-of-pocket maximum not determinable
20_497_NB,20,Percent participation,497,Fee-for-service plans: With annual family out-of-pocket maximum
20_503_NB,20,Percent participation,503,Fee-for-service plans: With no annual family out-of-pocket maximum
20_504_NB,20,Percent participation,504,"Fee-for-service plans: Coverage for mental health care, inpatient mental"
20_505_NB,20,Percent participation,505,"Fee-for-service plans: Coverage for mental health care, outpatient mental"
20_506_NB,20,Percent participation,506,"Fee-for-service plans: Coverage for selected services, hospital room and board"
20_507_NB,20,Percent participation,507,"Fee-for-service plans: Coverage for selected services, inpatient surgery"
20_508_NB,20,Percent participation,508,"Fee-for-service plans: Coverage for selected services, physician office visit"
20_509_NB,20,Percent participation,509,"Fee-for-service plans: Coverage for selected services, outpatient surgery"
20_510_NB,20,Percent participation,510,Health maintenance organizations: Total
20_511_NB,20,Percent participation,511,Health maintenance organizations: Traditional
20_512_NB,20,Percent participation,512,Health maintenance organizations: Open access
20_513_NB,20,Percent participation,513,Health maintenance organizations: Type of plan not determinable
20_514_NB,20,Percent participation,514,Health maintenance organizations: With annual deductible
20_515_NB,20,Percent participation,515,Health maintenance organizations: With no annual deductible
20_516_NB,20,Percent participation,516,Health maintenance organizations: With annual deductible not determinable
20_532_NB,20,Percent participation,532,Health maintenance organizations: With coinsurance
20_533_NB,20,Percent participation,533,Health maintenance organizations: With no coinsurance
20_534_NB,20,Percent participation,534,Health maintenance organizations: With coinsurance not determinable
20_542_NB,20,Percent participation,542,Health maintenance organizations: With annual out-of-pocket maximum
20_543_NB,20,Percent participation,543,Health maintenance organizations: With no annual out-of-pocket maximum
20_544_NB,20,Percent participation,544,Health maintenance organizations: With annual out-of-pocket maximum not determinable
20_545_NB,20,Percent participation,545,Health maintenance organizations: With annual family out-of-pocket maximum
20_546_NB,20,Percent participation,546,Health maintenance organizations: With no annual family out-of-pocket maximum
20_547_NB,20,Percent participation,547,Health maintenance organizations: With annual individual out-of-pocket maximum
20_553_NB,20,Percent participation,553,Health maintenance organizations: With no annual individual out-of-pocket maximum
20_559_NB,20,Percent participation,559,Health maintenance organizations: Coverage for inpatient mental health care
20_560_NB,20,Percent participation,560,Health maintenance organizations: Coverage for outpatient mental health care
20_561_NB,20,Percent participation,561,Health maintenance organizations: Coverage for hospital room and board
20_562_NB,20,Percent participation,562,Health maintenance organizations: Coverage for inpatient surgery
20_563_NB,20,Percent participation,563,Health maintenance organizations: Coverage for physician office visit
20_564_NB,20,Percent participation,564,Health maintenance organizations: Coverage for outpatient surgery
20_565_NB,20,Percent participation,565,"Hospital room and board benefits: All medical plans, coverage not determinable"
20_566_NB,20,Percent participation,566,"Hospital room and board benefits: All medical plans, coverage with limits"
20_567_NB,20,Percent participation,567,"Hospital room and board benefits: All medical plans, full coverage"
20_569_NB,20,Percent participation,569,"Hospital room and board benefits: Fee-for-service plans, coverage with limits"
20_570_NB,20,Percent participation,570,"Hospital room and board benefits: Fee-for-service plans, full coverage"
20_571_NB,20,Percent participation,571,"Hospital room and board benefits: Health maintenance organizations plans, coverage not determinable"
20_572_NB,20,Percent participation,572,"Hospital room and board benefits: Health maintenance organizations plans, coverage with limits"
20_573_NB,20,Percent participation,573,"Hospital room and board benefits: Health maintenance organizations plans, full coverage"
20_574_NB,20,Percent participation,574,"Hospital room and board benefits: All medical plans, coinsurance only"
20_575_NB,20,Percent participation,575,"Hospital room and board benefits: All medical plans, copayment and coinsurance"
20_576_NB,20,Percent participation,576,"Hospital room and board benefits: All medical plans, copayment only"
20_578_NB,20,Percent participation,578,"Hospital room and board benefits: Fee-for-service plans, coinsurance only"
20_579_NB,20,Percent participation,579,"Hospital room and board benefits: Fee-for-service plans, copayment and coinsurance"
20_580_NB,20,Percent participation,580,"Hospital room and board benefits: Fee-for-service plans, copayment only"
20_582_NB,20,Percent participation,582,"Hospital room and board benefits: Health maintenance organizations plans, coinsurance only"
20_583_NB,20,Percent participation,583,"Hospital room and board benefits: Health maintenance organizations plans, copayment and coinsurance"
20_584_NB,20,Percent participation,584,"Hospital room and board benefits: Health maintenance organizations plans, copayment only"
20_587_NB,20,Percent participation,587,"Inpatient mental health care benefits: All medical plans, coverage with limits"
20_588_NB,20,Percent participation,588,"Inpatient mental health care benefits: All medical plans, full coverage"
20_590_NB,20,Percent participation,590,"Inpatient mental health care benefits: Fee-for-service plans, coverage with limits"
20_591_NB,20,Percent participation,591,"Inpatient mental health care benefits: Fee-for-service plans, full coverage"
20_592_NB,20,Percent participation,592,"Inpatient mental health care benefits: Health maintenance organizations plans, coverage not determinable"
20_593_NB,20,Percent participation,593,"Inpatient mental health care benefits: Health maintenance organizations plans, coverage with limits"
20_594_NB,20,Percent participation,594,"Inpatient mental health care benefits: Health maintenance organizations plans, full coverage"
20_596_NB,20,Percent participation,596,"Inpatient surgery benefits: All medical plans, coverage with limits"
20_597_NB,20,Percent participation,597,"Inpatient surgery benefits: All medical plans, full coverage"
20_599_NB,20,Percent participation,599,"Inpatient surgery benefits: Fee-for-service plans, coverage with limits"
20_600_NB,20,Percent participation,600,"Inpatient surgery benefits: Fee-for-service plans, full coverage"
20_601_NB,20,Percent participation,601,"Inpatient surgery benefits: Health maintenance organizations plans, coverage not determinable"
20_602_NB,20,Percent participation,602,"Inpatient surgery benefits: Health maintenance organizations plans, coverage with limits"
20_603_NB,20,Percent participation,603,"Inpatient surgery benefits: Health maintenance organizations plans, full coverage"
20_604_NB,20,Percent participation,604,Mental health care treatment benefits: Coverage for inpatient mental
20_605_NB,20,Percent participation,605,Mental health care treatment benefits: Coverage for outpatient mental
20_606_NB,20,Percent participation,606,"Outpatient mental health care benefits: Health maintenance organizations plans, coverage not determinable"
20_607_NB,20,Percent participation,607,"Outpatient mental health care benefits: Health maintenance organizations plans, coverage with limits"
20_609_NB,20,Percent participation,609,"Outpatient mental health care benefits: All medical plans, coverage with limits"
20_610_NB,20,Percent participation,610,"Outpatient mental health care benefits: All medical plans, full coverage"
20_612_NB,20,Percent participation,612,"Outpatient mental health care benefits: Fee-for-service plans, coverage with limits"
20_613_NB,20,Percent participation,613,"Outpatient mental health care benefits: Fee-for-service plans, full coverage"
20_614_NB,20,Percent participation,614,Outpatient prescription drug benefits: Brand-name drugs not on formulary coverage
20_615_NB,20,Percent participation,615,Outpatient prescription drug benefits: Brand-name drugs on formulary coverage
20_616_NB,20,Percent participation,616,Outpatient prescription drug benefits: Brand-name drugs on formulary with copayment
20_617_NB,20,Percent participation,617,Outpatient prescription drug benefits: Brand-name drugs on formulary with no copayment
20_618_NB,20,Percent participation,618,Outpatient prescription drug benefits: Brand-name drugs on formulary with copayment not determinable
20_620_NB,20,Percent participation,620,Outpatient prescription drug benefits: Brand-name drugs not on formulary with copayment
20_621_NB,20,Percent participation,621,Outpatient prescription drug benefits: Brand-name drugs not on formulary with no copayment
20_622_NB,20,Percent participation,622,Outpatient prescription drug benefits: Brand-name drugs not on formulary with copayment not determinable
20_624_NB,20,Percent participation,624,Outpatient prescription drug benefits: Generic drugs with copayment not determinable
20_625_NB,20,Percent participation,625,Outpatient prescription drug benefits: Generic drugs coverage
20_626_NB,20,Percent participation,626,Outpatient prescription drug benefits: Generic drugs with copayment
20_627_NB,20,Percent participation,627,Outpatient prescription drug benefits: Generic drugs with no copayment
20_629_NB,20,Percent participation,629,Outpatient prescription drug benefits: Mail order drugs coverage
20_630_NB,20,Percent participation,630,"Outpatient surgery benefits: Health maintenance organizations plans, coverage not determinable"
20_631_NB,20,Percent participation,631,"Outpatient surgery benefits: Health maintenance organizations plans, coverage with limits"
20_632_NB,20,Percent participation,632,"Outpatient surgery benefits: Health maintenance organizations plans, full coverage"
20_635_NB,20,Percent participation,635,"Outpatient surgery benefits: All medical plans, coverage with limits"
20_636_NB,20,Percent participation,636,"Outpatient surgery benefits: All medical plans, full coverage"
20_639_NB,20,Percent participation,639,"Outpatient surgery benefits: Fee-for-service plans, coverage with limits"
20_640_NB,20,Percent participation,640,"Outpatient surgery benefits: Fee-for-service plans, full coverage"
20_642_NB,20,Percent participation,642,"Physician office visit benefits: Health maintenance organizations plans, coverage not determinable"
20_643_NB,20,Percent participation,643,"Physician office visit benefits: Health maintenance organizations plans, coverage with limits"
20_644_NB,20,Percent participation,644,"Physician office visit benefits: Health maintenance organizations plans, full coverage"
20_646_NB,20,Percent participation,646,"Physician office visit benefits: All medical plans, coverage not determinable"
20_647_NB,20,Percent participation,647,"Physician office visit benefits: All medical plans, coverage with limits"
20_648_NB,20,Percent participation,648,"Physician office visit benefits: All medical plans, full coverage"
20_650_NB,20,Percent participation,650,"Physician office visit benefits: Fee-for-service plans, coverage not determinable"
20_651_NB,20,Percent participation,651,"Physician office visit benefits: Fee-for-service plans, coverage with limits"
20_652_NB,20,Percent participation,652,"Physician office visit benefits: Fee-for-service plans, full coverage"
20_654_NB,20,Percent participation,654,Dental care benefits: Preventative services coverage
20_655_NB,20,Percent participation,655,Dental care benefits: Basic services coverage
20_656_NB,20,Percent participation,656,Dental care benefits: Major services coverage
20_657_NB,20,Percent participation,657,"Dental care benefits: Coverage for orthodontia, total"
20_658_NB,20,Percent participation,658,"Dental care benefits: Coverage for orthodontia, employee and dependent"
20_659_NB,20,Percent participation,659,"Dental care benefits: Coverage for orthodontia, dependent only"
20_660_NB,20,Percent participation,660,"Dental care benefits: Coverage for preventive services, full coverage"
20_661_NB,20,Percent participation,661,"Dental care benefits: Coverage for preventive services, coverage with limits"
20_662_NB,20,Percent participation,662,Dental care benefits: Coverage for preventive services not determinable
20_663_NB,20,Percent participation,663,"Dental care benefits: Coverage for basic services, full coverage"
20_664_NB,20,Percent participation,664,"Dental care benefits: Coverage for basic services, coverage with limits"
20_665_NB,20,Percent participation,665,Dental care benefits: Coverage for basic services not determinable
20_666_NB,20,Percent participation,666,"Dental care benefits: Coverage for major services, coverage with limits"
20_667_NB,20,Percent participation,667,"Dental care benefits: Coverage for major services, no coverage"
20_672_NB,20,Percent participation,672,"Dental care benefits: Employee and dependent coverage for orthodontia, coverage with limits"
20_673_NB,20,Percent participation,673,"Dental care benefits: Employee and dependent coverage for orthodontia, no coverage"
20_676_NB,20,Percent participation,676,"Dental care benefits: Dependent only coverage for orthodontia, coverage with limits"
20_677_NB,20,Percent participation,677,"Dental care benefits: Dependent only coverage for orthodontia, no coverage"
20_678_NB,20,Percent participation,678,Dental care benefits: Dependent only coverage for orthodontia not determinable
20_681_NB,20,Percent participation,681,Dental care benefits: With annual individual deductible
20_687_NB,20,Percent participation,687,Dental care benefits: With no annual individual deductible
20_688_NB,20,Percent participation,688,Dental care benefits: With annual individual deductible not determinable
20_689_NB,20,Percent participation,689,Dental care benefits: With annual family deductible
20_695_NB,20,Percent participation,695,Dental care benefits: With no annual family deductible
20_696_NB,20,Percent participation,696,Dental care benefits: With annual plan maximum
20_702_NB,20,Percent participation,702,Dental care benefits: With no annual plan maximum
20_703_NB,20,Percent participation,703,Dental care benefits: With annual plan maximum not determinable
20_704_NB,20,Percent participation,704,Vision care benefits: Coverage for eye exams
20_705_NB,20,Percent participation,705,"Vision care benefits: Extent of coverage for eye exams, full coverage"
20_706_NB,20,Percent participation,706,"Vision care benefits: Extent of coverage for eye exams, coverage with limits"
20_707_NB,20,Percent participation,707,Vision care benefits: Extent of coverage for eye exams not determinable
20_709_NB,20,Percent participation,709,Vision care benefits: Coverage for glasses
20_710_NB,20,Percent participation,710,"Vision care benefits: Extent of coverage for glasses, full coverage"
20_711_NB,20,Percent participation,711,"Vision care benefits: Extent of coverage for glasses, coverage with limits"
20_712_NB,20,Percent participation,712,Vision care benefits: Extent of coverage for glasses not determinable
20_714_NB,20,Percent participation,714,Vision care benefits: Coverage for contact lenses
20_715_NB,20,Percent participation,715,"Vision care benefits: Extent of coverage for contact lenses, full coverage"
20_716_NB,20,Percent participation,716,"Vision care benefits: Extent of coverage for contact lenses, coverage with limits"
20_719_NB,20,Percent participation,719,Medical care plans: With coinsurance
20_720_NB,20,Percent participation,720,Medical care plans: With no coinsurance
20_722_NB,20,Percent participation,722,Medical care plans: With annual out-of-pocket maximum
20_723_NB,20,Percent participation,723,Medical care plans: With no annual out-of-pocket maximum
20_724_NB,20,Percent participation,724,Medical care plans: With annual out-of-pocket maximum not determinable
20_725_NB,20,Percent participation,725,Medical care plans: With annual deductible
20_726_NB,20,Percent participation,726,Medical care plans: With no annual deductible
20_727_NB,20,Percent participation,727,Medical care plans: With annual deductible not determinable
20_729_NB,20,Percent participation,729,Medical care plans: With variable annual individual deductible
20_732_NB,20,Percent participation,732,Medical care plans: With variable annual family deductible
20_733_NB,20,Percent participation,733,Medical care plans: With annual individual deductible
20_734_NB,20,Percent participation,734,Medical care plans: With no annual individual deductible
20_735_NB,20,Percent participation,735,Medical care plans: With annual family deductible
20_736_NB,20,Percent participation,736,Medical care plans: With no annual family deductible
20_737_NB,20,Percent participation,737,Medical care plans: With individual out-of-pocket maximum
20_738_NB,20,Percent participation,738,Medical care plans: With no individual out-of-pocket maximum
20_739_NB,20,Percent participation,739,Medical care plans: With family out-of-pocket maximum
20_740_NB,20,Percent participation,740,Medical care plans: With no family out-of-pocket maximum
20_759_NB,20,Percent participation,759,Medical care benefits: With variable coinsurance
20_776_NB,20,Percent participation,776,Outpatient prescription drug benefits: Subject to an annual deductible
20_777_NB,20,Percent participation,777,Outpatient prescription drug benefits: Generic drugs limits subject to coinsurance
20_778_NB,20,Percent participation,778,Outpatient prescription drug benefits: Generic drugs subject to coinsurance limits (floor or ceiling)
20_779_NB,20,Percent participation,779,Outpatient prescription drug benefits: Generic drugs subject to copayment and coinsurance or some other limits
20_780_NB,20,Percent participation,780,Outpatient prescription drug benefits: With no cost per fill or refill for generic drugs
20_781_NB,20,Percent participation,781,Outpatient prescription drug benefits: Generic drugs limits subject to copayment
20_783_NB,20,Percent participation,783,Outpatient prescription drug benefits: Brand-name drugs limits subject to coinsurance
20_784_NB,20,Percent participation,784,Outpatient prescription drug benefits: Brand-name drugs limits subject to coinsurance limits (floor or ceiling)
20_785_NB,20,Percent participation,785,Outpatient prescription drug benefits: Brand-name drugs subject to copayment and coinsurance or some other limits
20_786_NB,20,Percent participation,786,Outpatient prescription drug benefits: With no cost per fill or refill for brand-name drugs
20_787_NB,20,Percent participation,787,Outpatient prescription drug benefits: Brand-name drugs limits subject to copayment
20_789_NB,20,Percent participation,789,Outpatient prescription drug benefits: Brand-name drugs not on formulary limits subject to coinsurance
20_790_NB,20,Percent participation,790,Outpatient prescription drug benefits: Brand-name drugs not on formulary subject to coinsurance limits (floor or ceiling)
20_791_NB,20,Percent participation,791,Outpatient prescription drug benefits: Brand-name drugs not on formulary subject to copayment and coinsurance or other limits
20_792_NB,20,Percent participation,792,Outpatient prescription drug benefits: With no cost per fill or refill for brand-name drugs not on formulary
20_793_NB,20,Percent participation,793,Outpatient prescription drug benefits: Brand-name drugs not on formulary limits subject to copayment
21_426_NB,21,10th percentile,426,Non-high deductible health plans: Amount of annual individual deductible (10th percentile)
21_436_NB,21,10th percentile,436,High deductible health plans: Amount of annual individual deductible (10th percentile)
21_451_NB,21,10th percentile,451,Fee-for-service plans: Annual individual deductible (10th percentile)
21_465_NB,21,10th percentile,465,Fee-for-service plans: Annual family deductible (10th percentile)
21_490_NB,21,10th percentile,490,Fee-for-service plans: Annual individual out-of-pocket maximum amount (10th percentile)
21_498_NB,21,10th percentile,498,Fee-for-service plans: Annual family out-of-pocket maximum amount (10th percentile)
21_548_NB,21,10th percentile,548,Health maintenance organizations: Amount of annual individual out-of-pocket maximum (10th percentile)
21_554_NB,21,10th percentile,554,Health maintenance organizations: Amount of annual family out-of-pocket maximum (10th percentile)
21_682_NB,21,10th percentile,682,Dental care benefits: Amount of annual individual deductible (10th percentile)
21_690_NB,21,10th percentile,690,Dental care benefits: Amount of annual family deductible (10th percentile)
21_697_NB,21,10th percentile,697,Dental care benefits: Amount of annual plan maximum (10th percentile)
21_749_NB,21,10th percentile,749,Medical care benefits: Amount of annual individual deductible (10th percentile)
21_754_NB,21,10th percentile,754,Medical care benefits: Amount of annual family deductible (10th percentile)
21_766_NB,21,10th percentile,766,Medical care benefits: Amount of annual individual out-of-pocket maximum (10th percentile)
21_771_NB,21,10th percentile,771,Medical care benefits: Amount of annual family out-of-pocket maximum (10th percentile)
22_427_NB,22,25th percentile,427,Non-high deductible health plans: Amount of annual individual deductible (25th percentile)
22_437_NB,22,25th percentile,437,High deductible health plans: Amount of annual individual deductible (25th percentile)
22_452_NB,22,25th percentile,452,Fee-for-service plans: Annual individual deductible (25th percentile)
22_466_NB,22,25th percentile,466,Fee-for-service plans: Annual family deductible (25th percentile)
22_491_NB,22,25th percentile,491,Fee-for-service plans: Annual individual out-of-pocket maximum amount (25th percentile)
22_499_NB,22,25th percentile,499,Fee-for-service plans: Annual family out-of-pocket maximum amount (25th percentile)
22_549_NB,22,25th percentile,549,Health maintenance organizations: Amount of annual individual out-of-pocket maximum (25th percentile)
22_555_NB,22,25th percentile,555,Health maintenance organizations: Amount of annual family out-of-pocket maximum (25th percentile)
22_683_NB,22,25th percentile,683,Dental care benefits: Amount of annual individual deductible (25th percentile)
22_691_NB,22,25th percentile,691,Dental care benefits: Amount of annual family deductible (25th percentile)
22_698_NB,22,25th percentile,698,Dental care benefits: Amount of annual plan maximum (25th percentile)
22_750_NB,22,25th percentile,750,Medical care benefits: Amount of annual individual deductible (25th percentile)
22_755_NB,22,25th percentile,755,Medical care benefits: Amount of annual family deductible (25th percentile)
22_767_NB,22,25th percentile,767,Medical care benefits: Amount of annual individual out-of-pocket maximum (25th percentile)
22_772_NB,22,25th percentile,772,Medical care benefits: Amount of annual family out-of-pocket maximum (25th percentile)
23_419_NB,23,Median,419,"Medical care plans: Eligibility requirements, median service requirement (in months)"
23_428_NB,23,Median,428,Non-high deductible health plans: Amount of annual individual deductible (50th percentile-median)
23_438_NB,23,Median,438,High deductible health plans: Amount of annual individual deductible (50th percentile-median)
23_453_NB,23,Median,453,Fee-for-service plans: Annual individual deductible (50th percentile-median)
23_460_NB,23,Median,460,Fee-for-service plans: Median annual variable individual deductible (most generous coverage)
23_461_NB,23,Median,461,Fee-for-service plans: Median annual variable individual deductible amount (in-network)
23_462_NB,23,Median,462,Fee-for-service plans: Median annual variable individual deductible amount (out-of-network)
23_467_NB,23,Median,467,Fee-for-service plans: Annual family deductible (50th percentile-median)
23_474_NB,23,Median,474,Fee-for-service plans: Median annual variable family deductible (most generous coverage)
23_475_NB,23,Median,475,Fee-for-service plans: Median annual variable family deductible amount (in-network)
23_476_NB,23,Median,476,Fee-for-service plans: Median annual variable family deductible amount (out-of-network)
23_484_NB,23,Median,484,Fee-for-service plans: Median variable coinsurance percentage (most generous coverage)
23_485_NB,23,Median,485,Fee-for-service plans: Median variable coinsurance percentage (in-network)
23_486_NB,23,Median,486,Fee-for-service plans: Median variable coinsurance percentage (out-of-network)
23_492_NB,23,Median,492,Fee-for-service plans: Annual individual out-of-pocket maximum amount (50th percentile-median)
23_500_NB,23,Median,500,Fee-for-service plans: Annual family out-of-pocket maximum amount (50th percentile-median)
23_550_NB,23,Median,550,Health maintenance organizations: Amount of annual individual out-of-pocket maximum (50th percentile-median)
23_556_NB,23,Median,556,Health maintenance organizations: Amount of annual family out-of-pocket maximum (50th percentile-median)
23_577_NB,23,Median,577,"Hospital room and board benefits: All medical plans, median copayment per visit"
23_581_NB,23,Median,581,"Hospital room and board benefits: Fee-for-service, median copayment per visit"
23_619_NB,23,Median,619,Outpatient prescription drug benefits: Brand-name drugs on formulary median copayment per prescription
23_623_NB,23,Median,623,Outpatient prescription drug benefits: Brand-name drugs not on formulary median copayment per prescription
23_628_NB,23,Median,628,Outpatient prescription drug benefits: Generic drugs median copayment per prescription
23_641_NB,23,Median,641,"Outpatient surgery benefits: Fee-for-service, median copayment per visit"
23_645_NB,23,Median,645,"Physician office visit benefits: Health maintenance organizations, median copayment per visit"
23_649_NB,23,Median,649,"Physician office visit benefits: All medical plans, median copayment per visit"
23_653_NB,23,Median,653,"Physician office visit benefits: Fee-for-service, median copayment per visit"
23_669_NB,23,Median,669,Dental care benefits: Median percent of covered charges paid by plan for preventative services
23_670_NB,23,Median,670,Dental care benefits: Median percent of covered charges paid by plan for basic services
23_671_NB,23,Median,671,Dental care benefits: Median percent of covered charges paid by plan for major services
23_675_NB,23,Median,675,"Dental care benefits: Employee and dependent coverage for orthodontia, median percent of covered charges"
23_679_NB,23,Median,679,"Dental care benefits: Dependent only coverage for orthodontia, median percent covered of charges"
23_680_NB,23,Median,680,"Dental care benefits: Coverage for orthodontia, median lifetime maximum"
23_684_NB,23,Median,684,Dental care benefits: Amount of annual individual deductible (50th percentile-median)
23_692_NB,23,Median,692,Dental care benefits: Amount of annual family deductible (50th percentile-median)
23_699_NB,23,Median,699,Dental care benefits: Amount of annual plan maximum (50th percentile-median)
23_708_NB,23,Median,708,Vision care benefits: Median copayments for eye exams
23_713_NB,23,Median,713,Vision care benefits: Median copayments for glasses
23_718_NB,23,Median,718,Vision care benefits: Median copayments for contact lenses
23_742_NB,23,Median,742,Medical care benefits: Median variable annual individual deductible amount for in-network coverage
23_743_NB,23,Median,743,Medical care benefits: Median variable annual individual deductible amount for out-of-network coverage
23_744_NB,23,Median,744,Medical care benefits: Median variable annual individual deductible amount for most generous coverage
23_746_NB,23,Median,746,Medical care benefits: Median variable in-network annual family deductible amount
