ESTIMATE_CODE,ESTIMATE TEXT,CATEGORY CODE,CATEGORY,DATATYPE CODE,DATATYPE
248_OR,"% of multiple machine tool setters, operators, and tenders, metal and plastic; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of mixing and blending machine setters, operators, and tenders; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of inspectors, testers, sorters, samplers, and weighers; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of packaging and filling machine operators and tenders; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of driver/sales workers; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of heavy and tractor-trailer truck drivers; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of light truck or delivery services drivers; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of industrial truck and tractor operators; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of laborers and freight, stock, and material movers, hand; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
248_OR,"% of packers and packagers, hand; lifting/carrying > 20 lbs & <= 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
249_OR,"Percent of workers, lifting/carrying > 50 lbs & <= 100 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
249_OR,"% of nursing assistants; lifting/carrying > 50 lbs & <= 100 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
249_OR,"% of heavy and tractor-trailer truck drivers; lifting/carrying > 50 lbs & <= 100 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
250_OR,"Percent of workers, lifting or carrying  > 100 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
253_OR,"Percent of workers, lifting or carrying negligible weight is required, frequently",26,Lifting or carrying: Frequently,1,Percentage
254_OR,"Percent of workers, lifting or carrying >1 lb and less than or equal to 10 lbs is required, frequently",26,Lifting or carrying: Frequently,1,Percentage
255_OR,"Percent of workers, lifting or carrying > 10 lbs and less than or equal to 25 lbs is required, frequently",26,Lifting or carrying: Frequently,1,Percentage
256_OR,"Percent of workers, lifting or carrying > 25 lbs and less than or equal to 50 lbs is required, frequently",26,Lifting or carrying: Frequently,1,Percentage
257_OR,"Percent of workers, lifting or carrying > 50 lbs is required, frequently",26,Lifting or carrying: Frequently,1,Percentage
259_OR,"Percent of workers, lifting or carrying no weight is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
261_OR,"Percent of workers, lifting or carrying negligible weight is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
262_OR,"Percent of workers, lifting or carrying >1 lb and less than or equal to 10 lbs is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
263_OR,"Percent of workers, lifting/carrying > 10 lbs & <= 20 lbs is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
264_OR,"Percent of workers, lifting/carrying > 20 lbs is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
264_OR,"% of laborers and freight, stock, and material movers, hand; lifting/carrying > 20 lbs is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
267_OR,"Percent of workers, crawling is not required",108,Crawling,1,Percentage
268_OR,"Percent of workers, crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of first-line supervisors of police and detectives; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of correctional officers and jailers; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of janitors and cleaners, except maids and housekeeping cleaners; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of maids and housekeeping cleaners; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of construction and building inspectors; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of mobile heavy equipment mechanics, except engines; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of industrial machinery mechanics; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of maintenance workers, machinery; crawling is required, seldom",108,Crawling,1,Percentage
268_OR,"% of maintenance and repair workers, general; crawling is required, seldom",108,Crawling,1,Percentage
269_OR,"Percent of workers, crawling is required, occasionally",108,Crawling,1,Percentage
269_OR,"% of maintenance and repair workers, general; crawling is required, occasionally",108,Crawling,1,Percentage
281_OR,"Percent of workers, pushing or pulling with hands or arms is not required",29,Pushing or pulling with hands or arms,1,Percentage
282_OR,"Percent of workers, pushing or pulling with hands or arms is required, seldom",29,Pushing or pulling with hands or arms,1,Percentage
283_OR,"Percent of workers, pushing or pulling with hands or arms is required, occasionally",29,Pushing or pulling with hands or arms,1,Percentage
284_OR,"Percent of workers, pushing or pulling with hands or arms is required, frequently",29,Pushing or pulling with hands or arms,1,Percentage
285_OR,"Percent of workers, pushing or pulling with hands or arms is required, constantly",29,Pushing or pulling with hands or arms,1,Percentage
295_OR,"Percent of workers, pushing or pulling with feet or legs is not required",30,Pushing or pulling with feet or legs,1,Percentage
296_OR,"Percent of workers, pushing or pulling with feet or legs is required, seldom",30,Pushing or pulling with feet or legs,1,Percentage
297_OR,"Percent of workers, pushing or pulling with feet or legs is required, occasionally",30,Pushing or pulling with feet or legs,1,Percentage
298_OR,"Percent of workers, pushing/pulling with feet/legs is required, frequently",30,Pushing or pulling with feet or legs,1,Percentage
298_OR,"% of nursing assistants; pushing/pulling with feet/legs is required, frequently",30,Pushing or pulling with feet or legs,1,Percentage
299_OR,"Percent of workers, pushing/pulling with feet/legs is required, constantly",30,Pushing or pulling with feet or legs,1,Percentage
311_OR,"Percent of workers, driving is not required",31,Driving,1,Percentage
313_OR,"Percent of workers, foot or leg controls is not required",32,Foot or leg controls,1,Percentage
314_OR,"Percent of workers, foot or leg controls is required, seldom",32,Foot or leg controls,1,Percentage
315_OR,"Percent of workers, foot or leg controls is required, occasionally",32,Foot or leg controls,1,Percentage
316_OR,"Percent of workers, foot or leg controls is required, frequently",32,Foot or leg controls,1,Percentage
317_OR,"Percent of workers, foot or leg controls is required, constantly",32,Foot or leg controls,1,Percentage
327_OR,"Percent of workers, foot or leg controls is required, one foot or leg",33,Foot or leg controls with one or both feet or legs,1,Percentage
328_OR,"Percent of workers, foot or leg controls is required, both feet or legs",33,Foot or leg controls with one or both feet or legs,1,Percentage
330_OR,"Percent of workers, gross manipulation is not required",34,Gross manipulation,1,Percentage
331_OR,"Percent of workers, gross manipulation is required, seldom",34,Gross manipulation,1,Percentage
332_OR,"Percent of workers, gross manipulation is required, occasionally",34,Gross manipulation,1,Percentage
333_OR,"Percent of workers, gross manipulation is required, frequently",34,Gross manipulation,1,Percentage
334_OR,"Percent of workers, gross manipulation is required, constantly",34,Gross manipulation,1,Percentage
344_OR,"Percent of workers, gross manipulation is required, one hand",35,Gross manipulation with one or both hands,1,Percentage
345_OR,"Percent of workers, gross manipulation is required, both hands",35,Gross manipulation with one or both hands,1,Percentage
347_OR,"Percent of workers, fine manipulation is not required",36,Fine manipulation,1,Percentage
348_OR,"Percent of workers, fine manipulation is required, seldom",36,Fine manipulation,1,Percentage
349_OR,"Percent of workers, fine manipulation is required, occasionally",36,Fine manipulation,1,Percentage
350_OR,"Percent of workers, fine manipulation is required, frequently",36,Fine manipulation,1,Percentage
351_OR,"Percent of workers, fine manipulation is required, constantly",36,Fine manipulation,1,Percentage
361_OR,"Percent of workers, fine manipulation is required, one hand",37,Fine manipulation with one or both hands,1,Percentage
362_OR,"Percent of workers, fine manipulation is required, both hands",37,Fine manipulation with one or both hands,1,Percentage
364_OR,"Percent of workers, climbing structure-related ramps or stairs is required",38,Climbing structure-related ramps or stairs,1,Percentage
365_OR,"Percent of workers, climbing structure-related ramps or stairs is not required",38,Climbing structure-related ramps or stairs,1,Percentage
367_OR,"Percent of workers, climbing work-related ramps or stairs is not required",39,Climbing work-related ramps or stairs,1,Percentage
368_OR,"Percent of workers, climbing work-related ramps or stairs is required, seldom",39,Climbing work-related ramps or stairs,1,Percentage
369_OR,"Percent of workers, climbing work-related ramps or stairs is required, occasionally",39,Climbing work-related ramps or stairs,1,Percentage
381_OR,"Percent of workers, climbing ladders, ropes, or scaffolds is not required",40,"Climbing ladders, ropes, or scaffolds",1,Percentage
382_OR,"Percent of workers, climbing ladders, ropes, or scaffolds is required, seldom",40,"Climbing ladders, ropes, or scaffolds",1,Percentage
383_OR,"Percent of workers, climbing ladders, ropes, or scaffolds is required, occasionally",40,"Climbing ladders, ropes, or scaffolds",1,Percentage
395_OR,"Percent of workers, stooping is not required",109,Stooping,1,Percentage
396_OR,"Percent of workers, stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of education administrators, elementary and secondary school; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of food service managers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of computer user support specialists; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of civil engineers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of child, family, and school social workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of probation officers and correctional treatment specialists; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of elementary school teachers, except special education; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of middle school teachers, except special and career/technical education; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of secondary school teachers, except special and career/technical education; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of special education teachers, kindergarten and elementary school; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of special education teachers, secondary school; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of teacher assistants; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of physical therapists; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of registered nurses; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of nurse practitioners; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of licensed practical and licensed vocational nurses; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of home health aides; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of nursing assistants; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of medical assistants; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of correctional officers and jailers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of security guards; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of chefs and head cooks; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of first-line supervisors of food preparation and serving workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of cooks, fast food; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of cooks, institution and cafeteria; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of cooks, restaurant; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of cooks, short order; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of food preparation workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of bartenders; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of combined food preparation and serving workers, including fast food; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of waiters and waitresses; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of dining room and cafeteria attendants and bartender helpers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of dishwashers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of hosts and hostesses, restaurant, lounge, and coffee shop; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of janitors and cleaners, except maids and housekeeping cleaners; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of maids and housekeeping cleaners; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of landscaping and groundskeeping workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of childcare workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of personal care aides; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of recreation workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of parts salespersons; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of sales reps., wholesale and manufacturing, except technical and scientific products; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of real estate sales agents; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of bookkeeping, accounting, and auditing clerks; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of tellers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of receptionists and information clerks; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of shipping, receiving, and traffic clerks; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of medical secretaries; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of secretaries and administrative assistants, except legal, medical, and executive; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of office clerks, general; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of first-line supervisors of construction trades and extraction workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of operating engineers and other construction equipment operators; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of construction and building inspectors; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of first-line supervisors of mechanics, installers, and repairers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of team assemblers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of food batchmakers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of mixing and blending machine setters, operators, and tenders; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of packaging and filling machine operators and tenders; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of bus drivers, school or special client; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of driver/sales workers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of heavy and tractor-trailer truck drivers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of light truck or delivery services drivers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of industrial truck and tractor operators; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of laborers and freight, stock, and material movers, hand; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of machine feeders and offbearers; stooping is required, seldom",109,Stooping,1,Percentage
396_OR,"% of packers and packagers, hand; stooping is required, seldom",109,Stooping,1,Percentage
397_OR,"Percent of workers, stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of food service managers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of computer user support specialists; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of preschool teachers, except special education; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of elementary school teachers, except special education; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of middle school teachers, except special and career/technical education; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of secondary school teachers, except special and career/technical education; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of special education teachers, kindergarten and elementary school; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of library technicians; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of teacher assistants; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of physical therapists; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of registered nurses; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of nurse practitioners; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of emergency medical technicians and paramedics; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of licensed practical and licensed vocational nurses; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of home health aides; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of nursing assistants; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of medical assistants; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of correctional officers and jailers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of security guards; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of first-line supervisors of food preparation and serving workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of cooks, fast food; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of cooks, institution and cafeteria; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of cooks, restaurant; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of cooks, short order; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of food preparation workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of bartenders; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of combined food preparation and serving workers, including fast food; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of waiters and waitresses; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of dining room and cafeteria attendants and bartender helpers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of dishwashers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of first-line supervisors of landscaping, lawn service, and groundskeeping workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of janitors and cleaners, except maids and housekeeping cleaners; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of maids and housekeeping cleaners; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of landscaping and groundskeeping workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of nonfarm animal caretakers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of hairdressers, hairstylists, and cosmetologists; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of childcare workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of personal care aides; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of recreation workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of library assistants, clerical; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of shipping, receiving, and traffic clerks; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of medical secretaries; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of first-line supervisors of construction trades and extraction workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of construction laborers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of sheet metal workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of first-line supervisors of mechanics, installers, and repairers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of automotive body and related repairers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of mobile heavy equipment mechanics, except engines; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of maintenance workers, machinery; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of team assemblers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of bakers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of butchers and meat cutters; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of food batchmakers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of printing press operators; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of water and wastewater treatment plant and system operators; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of inspectors, testers, sorters, samplers, and weighers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of coating, painting, and spraying machine setters, operators, and tenders; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of driver/sales workers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of heavy and tractor-trailer truck drivers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of light truck or delivery services drivers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of industrial truck and tractor operators; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of cleaners of vehicles and equipment; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of laborers and freight, stock, and material movers, hand; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of machine feeders and offbearers; stooping is required, occasionally",109,Stooping,1,Percentage
397_OR,"% of packers and packagers, hand; stooping is required, occasionally",109,Stooping,1,Percentage
398_OR,"Percent of workers, stooping is required, frequently",109,Stooping,1,Percentage
398_OR,"% of janitors and cleaners, except maids and housekeeping cleaners; stooping is required, frequently",109,Stooping,1,Percentage
398_OR,"% of maids and housekeeping cleaners; stooping is required, frequently",109,Stooping,1,Percentage
398_OR,"% of roofers; stooping is required, frequently",109,Stooping,1,Percentage
409_OR,"Percent of workers, kneeling is not required",110,Kneeling,1,Percentage
410_OR,"Percent of workers, kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of computer user support specialists; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of elementary school teachers, except special education; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of teacher assistants; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of physical therapists; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of emergency medical technicians and paramedics; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of home health aides; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of medical assistants; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of correctional officers and jailers; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of cooks, fast food; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of cooks, restaurant; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of combined food preparation and serving workers, including fast food; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of landscaping and groundskeeping workers; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of childcare workers; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of first-line supervisors of retail sales workers; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of first-line supervisors of construction trades and extraction workers; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of industrial machinery mechanics; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of butchers and meat cutters; kneeling is required, seldom",110,Kneeling,1,Percentage
410_OR,"% of food batchmakers; kneeling is required, seldom",110,Kneeling,1,Percentage
411_OR,"Percent of workers, kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of preschool teachers, except special education; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of elementary school teachers, except special education; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of teacher assistants; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of emergency medical technicians and paramedics; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of correctional officers and jailers; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of combined food preparation and serving workers, including fast food; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of landscaping and groundskeeping workers; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of childcare workers; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of fitness trainers and aerobics instructors; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of first-line supervisors of retail sales workers; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of first-line supervisors of construction trades and extraction workers; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of sheet metal workers; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of automotive body and related repairers; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of industrial machinery mechanics; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of installation, maintenance, and repair workers, all other; kneeling is required, occasionally",110,Kneeling,1,Percentage
411_OR,"% of cleaners of vehicles and equipment; kneeling is required, occasionally",110,Kneeling,1,Percentage
423_OR,"Percent of workers, not exposed to extreme cold",43,Extreme cold,1,Percentage
424_OR,"Percent of workers, exposed to extreme cold, seldom",43,Extreme cold,1,Percentage
425_OR,"Percent of workers, exposed to extreme cold, occasionally",43,Extreme cold,1,Percentage
426_OR,"Percent of workers, exposed to extreme cold, frequently",43,Extreme cold,1,Percentage
427_OR,"Percent of workers, exposed to extreme cold, constantly",43,Extreme cold,1,Percentage
437_OR,"Percent of workers, not exposed to extreme heat",44,Extreme heat,1,Percentage
438_OR,"Percent of workers, exposed to extreme heat, seldom",44,Extreme heat,1,Percentage
439_OR,"Percent of workers, exposed to extreme heat, occasionally",44,Extreme heat,1,Percentage
440_OR,"Percent of workers, exposed to extreme heat, frequently",44,Extreme heat,1,Percentage
441_OR,"Percent of workers, exposed to extreme heat, constantly",44,Extreme heat,1,Percentage
451_OR,"Percent of workers, not exposed to wetness",45,Wetness,1,Percentage
452_OR,"Percent of workers, exposed to wetness, seldom",45,Wetness,1,Percentage
453_OR,"Percent of workers, exposed to wetness, occasionally",45,Wetness,1,Percentage
454_OR,"Percent of workers, exposed to wetness, frequently",45,Wetness,1,Percentage
455_OR,"Percent of workers, exposed to wetness, constantly",45,Wetness,1,Percentage
465_OR,"Percent of workers, not exposed to humidity",46,Humidity,1,Percentage
466_OR,"Percent of workers, exposed to humidity, seldom",46,Humidity,1,Percentage
467_OR,"Percent of workers, exposed to humidity, occasionally",46,Humidity,1,Percentage
468_OR,"% of dishwashers; exposed to humidity, frequently",46,Humidity,1,Percentage
479_OR,"Percent of workers, not exposed to heavy vibrations",47,Heavy vibrations,1,Percentage
480_OR,"Percent of workers, exposed to heavy vibrations, seldom",47,Heavy vibrations,1,Percentage
481_OR,"Percent of workers, exposed to heavy vibrations, occasionally",47,Heavy vibrations,1,Percentage
520_OR,"Percent of workers, not exposed to heights",50,Heights,1,Percentage
521_OR,"Percent of workers, exposed to heights, seldom",50,Heights,1,Percentage
522_OR,"Percent of workers, exposed to heights, occasionally",50,Heights,1,Percentage
534_OR,"Percent of workers, not in proximity to moving mechanical parts",51,Proximity to moving mechanical parts,1,Percentage
535_OR,"Percent of workers, in proximity to moving mechanical parts, seldom",51,Proximity to moving mechanical parts,1,Percentage
536_OR,"Percent of workers, in proximity to moving mechanical parts, occasionally",51,Proximity to moving mechanical parts,1,Percentage
537_OR,"Percent of workers, in proximity to moving mechanical parts, frequently",51,Proximity to moving mechanical parts,1,Percentage
538_OR,"Percent of workers, in proximity to moving mechanical parts, constantly",51,Proximity to moving mechanical parts,1,Percentage
548_OR,"Percent of workers, near vision is required",52,Near vision,1,Percentage
549_OR,"Percent of workers, near vision is not required",52,Near vision,1,Percentage
551_OR,"Percent of workers, far vision is required",53,Far vision,1,Percentage
552_OR,"Percent of workers, far vision is not required",53,Far vision,1,Percentage
554_OR,"Percent of workers, peripheral vision is required",54,Peripheral vision,1,Percentage
555_OR,"Percent of workers, peripheral vision is not required",54,Peripheral vision,1,Percentage
557_OR,"Percent of workers, speaking is not required",55,Speaking,1,Percentage
558_OR,"Percent of workers, speaking is required, seldom",55,Speaking,1,Percentage
559_OR,"Percent of workers, speaking is required, occasionally",55,Speaking,1,Percentage
560_OR,"Percent of workers, speaking is required, frequently",55,Speaking,1,Percentage
561_OR,"Percent of workers, speaking is required, constantly",55,Speaking,1,Percentage
571_OR,"Percent of workers, exposed to quiet noise",56,Noise intensity level,1,Percentage
572_OR,"Percent of workers, exposed to moderate noise",56,Noise intensity level,1,Percentage
573_OR,"Percent of workers, exposed to loud noise",56,Noise intensity level,1,Percentage
